Cluster ID,,title,org,id
48,940,"Im Netz der Möglichkeiten - Wechselwirkungen in der Entwicklung von Theorie, Methode und Tools in den Digital Humanities am Beispiel der TEI 
                     2018","Herzog August Bibliothek Wolfenbüttel, Deutschland",../dhd_2018/TEI/SCHASSAN_Torsten__Im_Netz_der_M_glichkeiten___Wechselwirkung.xml__0
392,941,musilonline - integral lösen. Dialogfeld Digitale Edition 2018,"Robert-Musil-Institut, AAU Klagenfurt",../dhd_2018/TEI/GODLER_Katharina_musilonline___integral_l_sen__Dialogfeld_Di.xml__0
393,942,musilonline - integral lösen. Dialogfeld Digitale Edition 2018,"Robert-Musil-Institut, AAU Klagenfurt",../dhd_2018/TEI/GODLER_Katharina_musilonline___integral_l_sen__Dialogfeld_Di.xml__1
394,943,musilonline - integral lösen. Dialogfeld Digitale Edition 2018,"Robert-Musil-Institut, AAU Klagenfurt",../dhd_2018/TEI/GODLER_Katharina_musilonline___integral_l_sen__Dialogfeld_Di.xml__2
46,944,musilonline - integral lösen. Dialogfeld Digitale Edition 2018,Goethe-Universität Frankfurt / Freies Deutsches Hochstift,../dhd_2018/TEI/GODLER_Katharina_musilonline___integral_l_sen__Dialogfeld_Di.xml__3
395,945,musilonline - integral lösen. Dialogfeld Digitale Edition 2018,"Institut für Germanistik, AAU Klagenfurt",../dhd_2018/TEI/GODLER_Katharina_musilonline___integral_l_sen__Dialogfeld_Di.xml__4
11,946,Computergestützte Film- und Videoanalyse 2018,Universität Regensburg,../dhd_2018/TEI/BURGHARDT_Manuel_Computergest_tzte_Film__und_Videoanalyse.xml__0
396,947,Computergestützte Film- und Videoanalyse 2018,"Brandenburgisches Zentrum für Medienwissenschaften, Potsdam",../dhd_2018/TEI/BURGHARDT_Manuel_Computergest_tzte_Film__und_Videoanalyse.xml__1
7,948,Computergestützte Film- und Videoanalyse 2018,Freie Universität Berlin,../dhd_2018/TEI/BURGHARDT_Manuel_Computergest_tzte_Film__und_Videoanalyse.xml__2
397,949,Computergestützte Film- und Videoanalyse 2018,Universität Luxemburg,../dhd_2018/TEI/BURGHARDT_Manuel_Computergest_tzte_Film__und_Videoanalyse.xml__3
47,950,Computergestützte Film- und Videoanalyse 2018,Berlin-Brandenburgische Akademie der Wissenschaften,../dhd_2018/TEI/BURGHARDT_Manuel_Computergest_tzte_Film__und_Videoanalyse.xml__4
398,951,Computergestützte Film- und Videoanalyse 2018,Fachhochschule St. Pölten,../dhd_2018/TEI/BURGHARDT_Manuel_Computergest_tzte_Film__und_Videoanalyse.xml__5
75,952,Dramenquartett – Eine didaktische Intervention 2018,"Higher School of Economics, Moskau",../dhd_2018/TEI/TRILCKE_Peer_Dramenquartett___Eine_didaktische_Intervention.xml__0
399,953,Dramenquartett – Eine didaktische Intervention 2018,Karl-Franzens-Universität Graz,../dhd_2018/TEI/TRILCKE_Peer_Dramenquartett___Eine_didaktische_Intervention.xml__1
400,954,Dramenquartett – Eine didaktische Intervention 2018,Open Knowledge Forum Österreich,../dhd_2018/TEI/TRILCKE_Peer_Dramenquartett___Eine_didaktische_Intervention.xml__2
401,955,Dramenquartett – Eine didaktische Intervention 2018,Berlin,../dhd_2018/TEI/TRILCKE_Peer_Dramenquartett___Eine_didaktische_Intervention.xml__3
13,956,Dramenquartett – Eine didaktische Intervention 2018,"Universität Potsdam, Deutschland",../dhd_2018/TEI/TRILCKE_Peer_Dramenquartett___Eine_didaktische_Intervention.xml__4
402,957,Dramenquartett – Eine didaktische Intervention 2018,Mittelbayerische Zeitung Regensburg,../dhd_2018/TEI/TRILCKE_Peer_Dramenquartett___Eine_didaktische_Intervention.xml__5
75,958,"Netzwerkanalytischer Blick auf die Dramen Anton Tschechows 
                     2018","Higher School of Economics, Moskau, Russland",../dhd_2018/TEI/FISCHER_Frank_Netzwerkanalytischer_Blick_auf_die_Dramen_Anto.xml__0
75,959,"Netzwerkanalytischer Blick auf die Dramen Anton Tschechows 
                     2018","Higher School of Economics, Moskau, Russland",../dhd_2018/TEI/FISCHER_Frank_Netzwerkanalytischer_Blick_auf_die_Dramen_Anto.xml__1
75,960,"Netzwerkanalytischer Blick auf die Dramen Anton Tschechows 
                     2018","Higher School of Economics, Moskau, Russland",../dhd_2018/TEI/FISCHER_Frank_Netzwerkanalytischer_Blick_auf_die_Dramen_Anto.xml__2
75,961,"Netzwerkanalytischer Blick auf die Dramen Anton Tschechows 
                     2018","Higher School of Economics, Moskau, Russland",../dhd_2018/TEI/FISCHER_Frank_Netzwerkanalytischer_Blick_auf_die_Dramen_Anto.xml__3
75,962,"Netzwerkanalytischer Blick auf die Dramen Anton Tschechows 
                     2018","Higher School of Economics, Moskau, Russland",../dhd_2018/TEI/FISCHER_Frank_Netzwerkanalytischer_Blick_auf_die_Dramen_Anto.xml__4
75,963,"Netzwerkanalytischer Blick auf die Dramen Anton Tschechows 
                     2018","Higher School of Economics, Moskau, Russland",../dhd_2018/TEI/FISCHER_Frank_Netzwerkanalytischer_Blick_auf_die_Dramen_Anto.xml__5
403,964,Kleriker des Alten Reiches in der Digitalen Welt. Das Forschungsportal Germania Sacra Online 2018,"Akademie der Wissenschaften zu Göttingen, Deutschland",../dhd_2018/TEI/KR_GER_B_rbel_Kleriker_des_Alten_Reiches_in_der_Digitalen_We.xml__0
404,965,Kleriker des Alten Reiches in der Digitalen Welt. Das Forschungsportal Germania Sacra Online 2018,"Akademie der Wissenschaften zu Göttingen, Deutschland",../dhd_2018/TEI/KR_GER_B_rbel_Kleriker_des_Alten_Reiches_in_der_Digitalen_We.xml__1
63,966,Zur Weiterentwicklung des “cognition support”: Sammlungs-visualisierungen als Austragungsort kritisch-kulturwissenschaftlicher Forschung 2018,"Donau-Universität Krems, Österreich",../dhd_2018/TEI/WINDHAGER_Florian_Zur_Weiterentwicklung_des__cognition_suppo.xml__0
57,967,Zur Weiterentwicklung des “cognition support”: Sammlungs-visualisierungen als Austragungsort kritisch-kulturwissenschaftlicher Forschung 2018,"Stiftung Preußischer Kulturbesitz, Deutschland",../dhd_2018/TEI/WINDHAGER_Florian_Zur_Weiterentwicklung_des__cognition_suppo.xml__1
63,968,Zur Weiterentwicklung des “cognition support”: Sammlungs-visualisierungen als Austragungsort kritisch-kulturwissenschaftlicher Forschung 2018,"Donau-Universität Krems, Österreich",../dhd_2018/TEI/WINDHAGER_Florian_Zur_Weiterentwicklung_des__cognition_suppo.xml__2
63,969,Zur Weiterentwicklung des “cognition support”: Sammlungs-visualisierungen als Austragungsort kritisch-kulturwissenschaftlicher Forschung 2018,"Donau-Universität Krems, Österreich",../dhd_2018/TEI/WINDHAGER_Florian_Zur_Weiterentwicklung_des__cognition_suppo.xml__3
91,970,Zur Weiterentwicklung des “cognition support”: Sammlungs-visualisierungen als Austragungsort kritisch-kulturwissenschaftlicher Forschung 2018,Fachhochschule Potsdam,../dhd_2018/TEI/WINDHAGER_Florian_Zur_Weiterentwicklung_des__cognition_suppo.xml__4
